Model,Username,User_Country,User_Province,User_City,User_PostalCode,Numpublication,NumPublicationAdoption,NumPublicationHelp,NumPublicationStray,NumComment,UserAge,Work,Studies,"Marital Status",Children,Housing,"Other Pets",NumPets,Gender,Specie,Chip,Sex,Race,Age,State
PublicationAdoption,Pamela,Argentina,Cuenca,Oviedo,76125,4157,1610,1604,943,709,93,,ESO,,7,flat,dog,3,male,turtles,,neutered_female,Gos dAtura Catalá,0,other
Pages,Delia,Malta,Lanzarote,Basque Country,70280,2366,69,635,1662,1292,26,Psicólogo,Psicología,divorced,4,loft,,13,female,,,,,0,
AnimalShelter,Alexandria,Singapur,Cádiz,Vic,53440,3707,1319,1504,884,297,16,,Ingeniería química,separated,7,apartment,snake,18,other,snake,unknown,intact_female,Epagneul Picard,20,adopted
AnimalAdoption,Lawrence,Uruguay,Huesca,Martos,36651,4960,1455,1911,1594,1006,58,Arquitecto,Ingeniería química,single,1,detached house,hamster,6,other,hamster,yes,neutered_female,Bulldog americano,5,vet
Animal,Michael,Peru,Almería,Salamanca,57203,1021,760,216,45,1063,38,Farmacólogo,"Negocios y administración, programas multidisciplinarios o generales",,8,studio,turtles,6,nobinary,hamster,,intact_male,Lundehund Noruego,11,sick
Pages,Wilbur,El Salvador,Tarragona,Almendralejo,10115,3002,137,1674,1191,1470,9,,Negocios y comercio,,5,bungalows,cat,13,male,,,,,0,
Pages,Lewis,Colombia,Guipuzcoa,Murcia,39755,3210,1407,1668,135,1698,14,Frutero,Ingeniería mecánica y metalurgia,divorced,6,loft,snake,20,female,,,,,0,
AnimalShelter,Betty,Argentina,Albacete,Reus,19080,1650,98,328,1224,637,22,Paramédico,"Finanzas, banca y seguros",divorced,11,terraced house,bunny,9,male,hamster,unknown,intact_female,Galgo húngaro (Magyar Agar),20,foster
AnimalAdoption,Donna,Francia,Teruel,Santa Cruz de Tenerife,39418,2610,304,1134,1172,1825,29,Electricista,Bellas artes,single,2,bungalows,dog,3,female,hamster,,castrated_male,Rafeiro do Alentejo,4,vet
Animal,Marion,Ecuador,Ibiza,Tomelloso,47126,1338,187,147,1004,1810,80,Geógrafo,Ciencias políticas,single,11,semi-detached house,bunny,0,female,hamster,,castrated_male,Ridgeback de Tailandia,18,sick
Animal,Kimberly,Cuba,Fuerteventura,Motril,54693,2667,580,670,1417,166,99,Contador,Psicología,,4,ground floor with garden,hamster,11,,other,unknown,intact_male,Dogo Argentino,6,sick
AnimalShelter,Maria,Bolivia,Guipuzcoa,Santander,45237,3927,1649,1334,944,451,45,Físico,Trabajo y atención social,single,13,flat,bunny,12,,hamster,,neutered_female,Spaniel de Pont Audemer,9,foster
PublicationAdoption,Thomas,Guinea Ecuatorial,Menorca,Terrassa,24344,2237,85,835,1317,527,78,Artesano,Derecho,single,9,terraced house,turtles,2,female,dog,,castrated_male,Border terrier,0,vet
PublicationAdoption,Dennis,Colombia,Sevilla,Huelva,11735,3732,481,1900,1351,1354,5,Mecánico,Sociología y antropología,married,11,,bunny,8,male,cat,yes,intact_male,Sabueso de Smaland (Smalandsstovare),13,unknown
PublicationAdoption,Diana,Pakistan,La Palma,Guadalajara,52391,1575,255,1228,92,1465,59,Músico,Bellas artes,separated,9,studio,snake,16,nobinary,dog,,unknow,Terrier checo (Ceský teriér),6,foster
AnimalAdoption,James,Colombia,León,Aranjuez,89554,1998,509,1071,418,1982,35,Enfermero,Contabilidad y fiscalización,divorced,6,loft,,2,male,bunny,unknown,unknow,Boxer,11,vet
AnimalShelter,Christopher,Republica Dominicana,Lérida,Barcelona,10285,3899,1997,873,1029,1002,73,Politólogo,Psicología,divorced,1,ground floor,dog,18,,bunny,,intact_male,Laika de Siberia Occidental,10,vet
AnimalShelter,Vivian,Malta,Ceuta,Telde,15255,2470,130,1038,1302,10,87,Técnico de sonido,Tecnologías de la información y comunicación,,10,apartment,bunny,1,male,snake,yes,neutered_female,Basset Artesiano Normando,4,foster
AnimalShelter,John,Colombia,Burgos,Cabra,28119,2340,962,845,533,1468,74,Psicólogo,"Finanzas, banca y seguros",separated,13,triplex,other,7,male,dog,no,castrated_male,Kuvasz,19,unknown
AnimalAdoption,Willie,Chile,Navarra,Chiclana de la Frontera,34576,3696,710,1202,1784,1607,25,Químico,ESO,divorced,16,triplex,hamster,14,female,other,yes,intact_female,Akita,1,adopted
AnimalAdoption,Susan,Pakistan,Las Palmas de Gran Canaria,Pontevedra,56639,2570,506,1496,568,914,10,Periodista,Derecho,married,8,terraced house,turtles,6,other,other,yes,neutered_female,Braco Francés,5,healthy
Animal,Kelly,Costa Rica,Cantabria,Ciudad Real,90958,1957,1404,527,26,500,48,Físico,"Finanzas, banca y seguros",married,11,ground floor,,9,,hamster,no,intact_male,Lapphund Sueco,6,adopted
AnimalAdoption,Dina,Pakistan,Tenerife,Zamora,17749,2007,1673,286,48,921,76,Frutero,Magisterio,single,1,studio,other,19,male,cat,yes,unknow,Segugio Italiano,6,healthy
Animal,Marjorie,Pakistan,Valencia,Girona,84428,3498,589,1740,1169,1715,30,Enfermero,Ciencias políticas,separated,20,ground floor with garden,bunny,6,nobinary,cat,unknown,unknow,Sabueso de Posavaz,12,sick
PublicationAdoption,Martha,Panama,Guadalajara,Valdepeñas,17373,1307,45,744,518,1160,16,Paramédico,"Negocios y administración, programas multidisciplinarios o generales",separated,14,attic,hamster,9,,other,no,castrated_male,Samoyedo,18,foster
AnimalShelter,Gloria,Guatemala,Badajoz,Antequera,78611,2212,182,1153,877,143,64,Mecánico,Derecho,married,15,ground floor with garden,hamster,5,other,snake,yes,intact_male,Greyhound,8,unknown
PublicationAdoption,Alfred,Reino Unido,La Palma,Las Palmas,19094,3548,1343,1374,831,1004,38,Matemático,Contabilidad y fiscalización,single,10,duplex,other,16,male,other,yes,unknow,Fox terrier de pelo de alambre,7,foster
AnimalShelter,Marie,Nicaragua,Huesca,Santa Coloma de Gramenet,38794,2056,258,1131,667,1726,95,Computista,Ingeniería Informatica,separated,15,triplex,bunny,9,,other,yes,intact_female,Shikoku,13,foster
AnimalAdoption,James,Francia,Tarragona,Ortigueira,14374,2385,1704,305,376,1993,87,Médico cirujano,Criminología,single,6,triplex,snake,20,female,hamster,no,castrated_male,Kuvasz,12,vet
AnimalShelter,Kristi,Pakistan,Zaragoza,Tortosa,52457,4096,945,1693,1458,1244,5,Politólogo,Criminología,relationship,0,duplex,bunny,20,male,cat,,castrated_male,Irish terrier,15,sick
PublicationAdoption,Tony,Guinea Ecuatorial,Jaén,Linares,89596,1082,677,101,304,768,52,Archivólogo,Derecho,relationship,1,attic,hamster,20,other,other,unknown,unknow,Drentse Partridge Dog,17,sick
Pages,Michelle,Uruguay,Cuenca,Oviedo,23155,4707,1046,1978,1683,838,12,Ingeniero,Tecnologías de la información y comunicación,,3,loft,dog,9,other,,,,,0,
PublicationAdoption,Anthony,Mexico,Guipuzcoa,Badalona,67660,2266,1899,321,46,585,93,Carpintero,Tecnología y protección del medio ambiente,,10,ground floor with garden,turtles,13,other,snake,yes,neutered_female,Dálmata,10,adopted
Animal,Elaine,Pakistan,Lugo,Puente-Genil,83258,2581,1332,643,606,245,36,Contador,Negocios y comercio,relationship,17,quadplex,hamster,7,other,turtles,,intact_male,Foxhound Inglés,19,other
Animal,Norman,Guinea Ecuatorial,Ceuta,Antequera,83811,3089,1420,23,1646,1595,71,Técnico de sonido,Magisterio,,13,attic,bunny,16,,snake,unknown,castrated_male,Norwich terrier,2,sick
Animal,Kelly,Chile,Valladolid,Lugo,92836,2151,415,669,1067,518,86,Mecánico,Trabajo y atención social,single,12,studio,bunny,18,nobinary,other,no,castrated_male,Cane da Pastore Maremmano-Abruzzese,6,healthy
Pages,Rosa,Honduras,Toledo,Maó,13989,4391,1541,1811,1039,895,53,Botánico,"Negocios y administración, programas multidisciplinarios o generales",single,2,,cat,1,nobinary,,,,,0,
PublicationAdoption,Loretta,Pakistan,Lugo,Funes,50390,3446,1606,1622,218,1399,73,Farmacólogo,Derecho,single,3,studio,snake,12,male,turtles,unknown,neutered_female,Shiba Inu,18,unknown
Pages,Elizabeth,Mexico,Teruel,Ourense,89975,4836,1565,1309,1962,55,19,,Trabajo y atención social,separated,17,studio,hamster,7,,,,,,0,
AnimalShelter,Alan,Pakistan,El Hierro,Segovia,14415,2297,1454,256,587,992,98,Periodista,Ciencias políticas,married,10,studio,bunny,0,,snake,yes,castrated_male,Kishu,3,adopted
Animal,Kathleen,Chile,Formentera,Getxo,98909,3626,1440,1224,962,1562,38,Músico,Tecnología y protección del medio ambiente,separated,8,quadplex,cat,18,,bunny,unknown,intact_male,Setter Inglés,2,other
Pages,Caitlyn,Mexico,Lanzarote,Úbeda,84760,1203,153,545,505,1436,87,Geógrafo,Contabilidad y fiscalización,married,7,terraced house,hamster,4,other,,,,,0,
AnimalAdoption,Shaun,Peru,El Hierro,Lleida,36589,4420,1976,1874,570,275,54,Contador,Derecho,married,12,semi-detached house,other,3,,other,yes,intact_female,Harrier,9,other
AnimalShelter,Clint,Malta,Asturias,Ferrol,31684,1055,389,560,106,1202,60,Artesano,Contabilidad y fiscalización,single,3,ground floor with garden,bunny,4,male,dog,yes,unknow,Gran Munsterlander,14,other
Animal,Yolanda,Uruguay,Cuenca,Reus,93315,1628,368,707,553,609,49,Politólogo,Psicología,separated,1,apartment,dog,0,,hamster,unknown,unknow,Airedale terrier,7,healthy
AnimalShelter,Alvina,Panama,Málaga,Huelva,13010,3308,1582,1567,159,1135,23,Computista,Ingeniería Informatica,,17,terraced house,hamster,17,female,turtles,no,unknow,Nova Scotia duck tolling retriever,19,unknown
Pages,Natalie,Venezuela,Navarra,Cieza,82349,3377,1335,1840,202,549,86,Frutero,Ingeniería mecánica y metalurgia,married,18,bungalows,bunny,2,nobinary,,,,,0,
Pages,Wanda,Panama,León,Santa Cruz de Tenerife,45078,2358,728,1166,464,1245,38,Cocinero,Tecnologías de la información y comunicación,married,13,semi-detached house,bunny,5,female,,,,,0,
Pages,Miranda,Chile,Formentera,Teruel,81698,2045,422,701,922,1327,53,Abogado,Ingeniería mecánica y metalurgia,,20,studio,snake,11,nobinary,,,,,0,
AnimalAdoption,Thelma,Argentina,Toledo,La Orotava,65459,2862,254,743,1865,1094,54,,Tecnologías de la información y comunicación,married,18,loft,cat,1,,hamster,unknown,unknow,Cocker Spaniel Americano,1,vet
Animal,Jesse,Pakistan,Lugo,Valladolid,15920,4592,1342,1517,1733,240,67,Lavandero,Tecnología y protección del medio ambiente,relationship,20,terraced house,hamster,4,female,hamster,yes,neutered_female,Cairn terrier,15,sick
AnimalShelter,Robert,Honduras,Ciudad Real,Murcia,89753,5556,1934,1849,1773,1400,99,Electricista,Ingeniería Informatica,married,10,attic,cat,13,,turtles,yes,castrated_male,Alaskan Husky,0,sick
Pages,Lisa,Bolivia,Palencia,Alcántara,80736,2072,1044,945,83,680,76,Geógrafo,Tecnología y protección del medio ambiente,,12,semi-detached house,snake,17,,,,,,0,
Animal,Jacki,Venezuela,Barcelona,Gijón,52307,3018,1307,522,1189,981,29,Periodista,Economía,,5,semi-detached house,hamster,7,nobinary,other,no,intact_male,Staffordshire terrier americano,4,vet
Animal,Gwen,Reino Unido,Menorca,Ciudad Rodrigo,32848,2821,1997,629,195,752,92,Cocinero,Negocios y comercio,divorced,4,ground floor,turtles,6,nobinary,other,,intact_female,Tosa,5,sick
PublicationAdoption,Mary,Francia,Valencia,Guernica,40007,2779,1695,599,485,1507,19,Lechero,"Finanzas, banca y seguros",divorced,1,,snake,1,,snake,unknown,neutered_female,Spítz Alemán,3,adopted
AnimalAdoption,Blanca,India,Ceuta,Ceuta (autonomous city),67108,3176,906,1901,369,1319,10,Botánico,Magisterio,relationship,1,,hamster,6,,snake,yes,unknow,Akita,3,adopted
Pages,Philip,Uruguay,Albacete,Ecija,69130,3075,1147,898,1030,62,99,Electricista,Ciencias políticas,separated,2,quadplex,cat,18,male,,,,,0,
AnimalAdoption,Benjamin,El Salvador,Cuenca,Madrid,96372,3539,569,1421,1549,1417,100,Geógrafo,ESO,married,18,quadplex,hamster,5,other,bunny,unknown,neutered_female,Schipperke,20,other
Pages,June,Alemania,Albacete,Barcelona,30334,5155,1743,1867,1545,1265,62,Artesano,Tecnologías de la información y comunicación,separated,17,apartment,bunny,15,,,,,,0,
Animal,Alma,Cuba,Zamora,Lugo,70083,3234,1237,1193,804,491,98,Artesano,Ingeniería mecánica y metalurgia,,19,studio,,2,female,hamster,yes,unknow,Ca de Bestiar,19,dead
AnimalAdoption,Loraine,Costa Rica,Castellón,Alcántara,12564,1414,591,558,265,784,11,Carpintero,Tecnologías de la información y comunicación,single,20,studio,hamster,17,nobinary,dog,no,neutered_female,Manchester terrier,11,unknown
Animal,William,Nicaragua,Orense,Telde,68922,2026,1525,461,40,1835,4,Cocinero,Tecnología y protección del medio ambiente,married,17,studio,cat,13,other,snake,yes,neutered_female,Border Collie,1,healthy
Animal,Dolores,Guatemala,Badajoz,Badajoz,62413,2486,896,254,1336,1049,30,Geógrafo,"Negocios y administración, programas multidisciplinarios o generales",separated,15,semi-detached house,,13,,bunny,yes,unknow,Norwich terrier,12,sick
Animal,Betty,Costa Rica,Soria,Mataró,57450,1361,294,215,852,1124,39,Sociólogo,Mercadotecnia y publicidad,single,12,flat,snake,20,other,dog,yes,unknow,Boston terrier,11,healthy
Animal,Annie,Reino Unido,Valencia,Trujillo,23365,4767,1089,1681,1997,1292,22,Abogado,Contabilidad y fiscalización,relationship,5,ground floor with garden,other,17,,cat,,neutered_female,Kuvasz,7,unknown
AnimalShelter,Dorothy,Republica de Irlanda,Formentera,Catalonia,31346,3931,381,1730,1820,1927,48,Paramédico,Trabajo y atención social,married,17,triplex,,3,nobinary,other,yes,unknow,Azawakh,10,sick
Pages,Walter,Colombia,Albacete,Toro,15632,852,638,111,103,1868,17,Físico,"Negocios y administración, programas multidisciplinarios o generales",divorced,15,studio,snake,3,nobinary,,,,,0,
Pages,Precious,Guinea Ecuatorial,Palencia,Valdepeñas,82053,2002,272,705,1025,1007,57,Archivólogo,Administración y gestión de empresas,relationship,15,apartment,snake,20,male,,,,,0,
AnimalAdoption,Carmen,España,Málaga,Toro,61560,2859,830,377,1652,107,40,Contador,Criminología,single,7,duplex,snake,5,other,turtles,,castrated_male,Chesapeake Bay Retriever,0,vet
Animal,Lydia,Honduras,La Rioja,Tarragona,50533,1813,1254,40,519,673,40,Médico cirujano,Ingeniería mecánica y metalurgia,divorced,7,,other,8,female,other,,intact_female,Jindo Coreano,9,dead
Animal,Arlene,Ecuador,Girona,Cáceres,72019,2197,1111,505,581,1869,73,Cocinero,Ingeniería química,separated,4,terraced house,dog,0,,cat,yes,intact_male,Cao de Fila de Sao Miguel,0,adopted
Animal,Patricia,Costa Rica,Jaén,Andújar,39828,5527,1996,1734,1797,25,79,Músico,Bellas artes,separated,1,terraced house,hamster,6,,cat,unknown,neutered_female,Irish soft coated wheaten terrier,12,unknown
Pages,Bradford,Bolivia,Palencia,Llívia,95470,1602,740,441,421,1778,19,Químico,Ingeniería mecánica y metalurgia,,7,ground floor with garden,other,19,nobinary,,,,,0,
AnimalAdoption,Emma,Nicaragua,Castellón,Osuna,48315,2429,385,72,1972,1251,13,Cocinero,Tecnología y protección del medio ambiente,married,15,quadplex,,7,nobinary,cat,unknown,intact_female,Collie de Pelo Largo,5,foster
Animal,Ruby,Guatemala,Teruel,Pola de Siero,19178,2304,519,963,822,1802,28,Bibliotecólogo,Mercadotecnia y publicidad,divorced,15,bungalows,snake,10,,snake,unknown,neutered_female,Basset Alpino (Alpine Dachsbracke),14,foster
PublicationAdoption,Howard,Argentina,Albacete,Manresa,68224,2213,575,106,1532,1325,70,Arquitecto,Psicología,,3,ground floor,,18,nobinary,snake,no,castrated_male,Cao de Fila de Sao Miguel,6,unknown
Pages,David,Pakistan,Huelva,Navarra,39224,4175,1741,621,1813,1476,1,Politólogo,Tecnología y protección del medio ambiente,single,2,ground floor,,7,,,,,,0,
AnimalAdoption,Aurora,Alemania,Las Palmas de Gran Canaria,Simancas,60266,3844,1926,1649,269,225,5,Físico,Criminología,relationship,13,apartment,turtles,3,female,turtles,,unknow,Gran Boyero Suizo,3,sick
Animal,James,Ecuador,Ceuta,Lebrija,85522,3499,570,1436,1493,1279,13,Contador,Sociología y antropología,relationship,0,bungalows,bunny,13,,bunny,unknown,intact_male,Laika de Siberia Oriental,20,adopted
Pages,Rufina,Uruguay,Cantabria,Cartagena,24984,2716,1011,296,1409,68,81,Artesano,"Negocios y administración, programas multidisciplinarios o generales",separated,14,loft,other,11,nobinary,,,,,0,
Animal,Joyce,Venezuela,Tarragona,Vilalba,46775,2271,521,1243,507,123,78,Paleontólogo,ESO,relationship,19,loft,dog,17,female,bunny,,neutered_female,Basset Hound,11,sick
AnimalAdoption,Timothy,Uruguay,Fuerteventura,Huelva,83736,1172,210,192,770,511,23,Ingeniero,Administración y gestión de empresas,separated,17,duplex,,0,nobinary,dog,,unknow,Dobermann,9,unknown
PublicationAdoption,Mary,Republica Dominicana,Córdoba,Morón de la Frontera,93314,2512,1329,65,1118,1782,68,Músico,Ingeniería química,married,17,semi-detached house,dog,0,,bunny,yes,castrated_male,Tchuvatch eslovaco,20,sick
PublicationAdoption,Robert,Argentina,Segovia,Villaviciosa,49719,3359,1307,523,1529,115,31,Ingeniero,Economía,separated,10,flat,snake,8,female,snake,,castrated_male,Basset Alpino (Alpine Dachsbracke),10,unknown
AnimalAdoption,Kaye,Alemania,Murcia,Segovia,91016,1983,545,193,1245,178,18,Médico cirujano,Ingeniería química,relationship,17,flat,other,5,other,bunny,no,unknow,Komondor,8,sick
AnimalAdoption,Kathy,Uruguay,Gran Canaria,Aranjuez,73403,3012,833,388,1791,152,41,Historiador,Ciencias políticas,single,5,semi-detached house,snake,9,nobinary,cat,unknown,castrated_male,Bouvier des Flandres,17,adopted
AnimalShelter,Fred,Colombia,A Coruña,Jaén,74722,4006,1303,1930,773,1351,55,,Ingeniería química,single,13,duplex,,8,female,turtles,,castrated_male,Affenpinscher,19,other
Animal,Herman,Republica Dominicana,Valencia,Don Benito,68416,3187,1789,651,747,883,71,Computista,Magisterio,relationship,17,ground floor with garden,,11,other,snake,unknown,intact_female,Irish terrier,14,foster
Animal,Daniel,Ecuador,Ibiza,Montilla,43614,3068,325,1647,1096,1819,40,Cocinero,Negocios y comercio,married,2,quadplex,bunny,11,,hamster,yes,intact_female,Sabueso Polaco (Ogar Polski),19,foster
Pages,Nora,Republica de Irlanda,Teruel,Tomelloso,47622,3987,1521,1218,1248,1694,88,Artesano,Sociología y antropología,divorced,10,quadplex,other,5,other,,,,,0,
PublicationAdoption,Rachel,Venezuela,Lérida,Palma,79946,2399,910,35,1454,1691,42,Químico,Bellas artes,single,14,bungalows,,2,,other,unknown,castrated_male,Gran Gascón Saintongeois,6,healthy
Pages,Bryan,Nicaragua,Huesca,Bujalance,12317,2190,137,1268,785,1147,18,Bibliotecólogo,ESO,divorced,17,quadplex,cat,18,,,,,,0,
AnimalAdoption,Anna,Alemania,Jaén,Santa Cruz de Tenerife,17842,3329,1646,837,846,413,76,Profesor,ESO,relationship,4,apartment,cat,3,other,bunny,yes,castrated_male,Sabueso Finlandés,14,vet
AnimalShelter,Etta,Pakistan,Vizcaya,Terrassa,88434,3260,894,1955,411,1012,39,Politólogo,Criminología,married,19,triplex,snake,4,female,snake,yes,neutered_female,Braco Dupuy,11,adopted
AnimalAdoption,Sally,Pakistan,Guipuzcoa,Tarragona,81067,2122,388,759,975,495,36,Enfermero,Criminología,separated,3,triplex,turtles,16,male,dog,yes,neutered_female,Terranova (Newfoundland),2,foster
PublicationAdoption,Michael,Pakistan,Alicante,Álava,58505,2106,1630,158,318,622,4,Archivólogo,Contabilidad y fiscalización,married,19,ground floor,bunny,19,male,snake,unknown,neutered_female,Laika de Siberia Occidental,12,dead
AnimalAdoption,Ruth,Ecuador,Teruel,Utrera,44124,2783,1408,106,1269,1232,66,Cerrajero,Criminología,,15,bungalows,cat,2,,other,yes,unknow,Spitz Japonés,11,foster
PublicationAdoption,Veronica,Reino Unido,Lérida,Cuenca,95076,2378,739,1006,633,113,13,Contador,Ciencias políticas,divorced,18,semi-detached house,cat,9,female,dog,unknown,intact_female,Kishu,18,other
Animal,Edna,Ecuador,Ciudad Real,Lleida,26941,3808,1197,1590,1021,310,57,Contador,Ingeniería química,divorced,13,studio,snake,9,nobinary,other,unknown,unknow,Boyero de Montaña Bernes,3,foster
Animal,Larissa,Republica Dominicana,Madrid,Santurtzi,67147,2245,558,22,1665,1833,69,Sociólogo,"Finanzas, banca y seguros",married,4,loft,dog,8,female,bunny,,castrated_male,Akita americano,1,adopted
AnimalAdoption,Eduardo,España,Cáceres,Dos Hermanas,34637,2368,57,955,1356,772,61,Biólogo,Mercadotecnia y publicidad,relationship,9,detached house,turtles,9,female,cat,yes,unknow,Gran Munsterlander,10,healthy
Animal,Robert,Guinea Ecuatorial,Albacete,Huelva,92001,3753,1102,881,1770,636,75,Computista,Psicología,separated,3,detached house,turtles,2,,dog,yes,intact_male,Borzoi,0,adopted
Animal,Mary,Panama,Barcelona,A Coruña,21486,2364,680,903,781,1265,44,Biólogo,Tecnología y protección del medio ambiente,single,9,studio,bunny,3,nobinary,turtles,,intact_female,Ratonero Bodeguero Andaluz,17,adopted
AnimalShelter,Lee,Chile,Avila,Simancas,70540,2471,2,1926,543,1503,37,Botánico,Derecho,divorced,20,apartment,turtles,19,female,dog,,intact_female,Ariegeois,3,other
PublicationAdoption,Pamela,Pakistan,La Palma,Llívia,20892,2107,907,111,1089,1118,60,Geógrafo,Criminología,relationship,7,detached house,snake,16,male,other,yes,neutered_female,Boerboel,18,foster
PublicationAdoption,Oscar,Ecuador,La Rioja,Ortigueira,89648,4257,962,1788,1507,1578,47,Enfermero,Ingeniería química,relationship,15,loft,,6,other,hamster,,neutered_female,Cavalier King Charles Spaniel,4,sick
Animal,Ida,Cuba,La Palma,Villaviciosa,67744,992,658,55,279,1955,4,Periodista,Derecho,married,9,ground floor,cat,8,male,dog,yes,neutered_female,Spaniel de Campo,0,other
PublicationAdoption,Harold,España,La Rioja,Maó,73142,3400,486,1088,1826,1817,97,Biólogo,Derecho,separated,15,loft,cat,20,other,turtles,no,intact_male,Rottweiler,0,vet
PublicationAdoption,Angel,Guatemala,Salamanca,Girona,20770,2695,1102,1575,18,1137,12,Enfermero,Magisterio,married,14,ground floor with garden,cat,3,,snake,,unknow,Bavarian Mountain Scenthound,4,unknown
Animal,Linda,Venezuela,Valencia,Osuna,93410,2625,538,1566,521,937,59,Sociólogo,Sociología y antropología,married,10,loft,cat,1,nobinary,turtles,unknown,castrated_male,Sabueso de Schiller (Schillerstovare),10,adopted
AnimalShelter,Kelly,Uruguay,Almería,Andújar,79413,3597,1527,1193,877,538,93,,ESO,divorced,17,ground floor with garden,dog,17,female,dog,yes,intact_female,Sabueso del Tirol,20,adopted
AnimalAdoption,Joseph,Uruguay,Jaén,Zamora,27577,3308,1825,1071,412,1155,92,Técnico de sonido,Mercadotecnia y publicidad,separated,0,ground floor with garden,bunny,18,nobinary,other,yes,neutered_female,Lakeland terrier,4,healthy
AnimalShelter,Thomas,Malta,Huelva,Coín,33300,3511,1361,719,1431,1056,70,Enfermero,Ciencias políticas,,16,loft,cat,4,,cat,unknown,intact_male,Basenji,12,healthy
AnimalShelter,Elizabeth,Mexico,Almería,Cádiz,33435,4062,1820,1056,1186,1133,51,Arquitecto,Magisterio,single,5,quadplex,snake,4,female,hamster,no,castrated_male,Fila Brasileiro,17,unknown
Animal,Wanda,Francia,La Rioja,Ortigueira,59984,4518,1013,1784,1721,918,26,Matemático,ESO,divorced,9,attic,bunny,0,other,other,yes,intact_female,Cairn terrier,18,vet
AnimalShelter,Sue,Guatemala,La Palma,Lleida,53877,4241,986,1316,1939,70,1,Lechero,Tecnologías de la información y comunicación,divorced,9,quadplex,snake,2,other,cat,,castrated_male,Cotón de Tuléar,9,adopted
AnimalShelter,Geraldine,El Salvador,Granada,Sestao,27379,3265,417,1938,910,1577,19,Psicólogo,Psicología,,10,bungalows,snake,20,male,bunny,yes,castrated_male,Boyero de Appenzell,9,foster
